2018-09-02 05:46:27,b'The countdown is on. \n#frankfurt #germany #automechanika2018 #cathaypacific #lufthansa #firsttimeoverseas #newyork\xe2\x80\xa6 https://t.co/9RBTrml4DG'
2018-09-02 05:05:21,"b'I would ask you for flight status, but that Alexa skill has bad reviews.\n#unitedairlines #friendlyskies #freedental\xe2\x80\xa6 https://t.co/oZTGHMKslA'"
2018-09-02 04:04:03,b'#UnitedAirlines Finally on the plane and about to pay for Wi-Fi...smfh'
2018-09-02 04:01:30,"b""#UnitedAirlines agent said talk to supervisor, he said can't do anything, call customer care. They said complain on\xe2\x80\xa6 https://t.co/Pf12xmHMvx"""
2018-09-02 04:00:02,b'#UnitedAirlines Announces New #PragueNewark #Route from June 2019. United https://t.co/bBLHstexKX \xe2\x80\xa6 via @50skyshades https://t.co/Mp4tgz9n7W'
2018-09-02 03:59:35,b'#UnitedAirlines since I have solo much time in between fights I decided to talk to customer service and explain my\xe2\x80\xa6 https://t.co/h0fQtk2zzw'
2018-09-02 03:55:10,"b'#UnitedAirlines Shows plane arrived early. Nope! No plane til 8:35. Almost 9pm and still barely boarding,  schedule\xe2\x80\xa6 https://t.co/Ij368RCWpp'"
2018-09-02 03:40:19,b'Always Mr. Happy @united #unitedpolaris #hongkong\n.\nFollow \xf0\x9f\x91\x89\xf0\x9f\x8f\xbc @jaypowski\n.\n.\n.\n.\n.\n#frequentflyer #united\xe2\x80\xa6 https://t.co/365L9hkBek'
2018-09-02 03:37:23,b'#UnitedAirlines have us miss our connecting flight to Connecticut. Talked to boarding agent again and rebooked for\xe2\x80\xa6 https://t.co/SZ3KUBeqEl'
2018-09-02 03:34:10,"b'#UnitedAirlines arrived for flight this morning at 5am. Flight delayed til 8:30, ok will just make connecting fligh\xe2\x80\xa6 https://t.co/EfDnXYa4qm'"
2018-09-02 03:24:53,b'Beyond the Sunset #travel #homewardbound #unitedairlines https://t.co/9W41RCGxk4'
2018-09-02 03:24:03,"b""#UnitedAirlines I am trying to get a ticket from Seattle to Cancun, but we cannot input passenger's info because Ir\xe2\x80\xa6 https://t.co/kvoBbFr02N"""
2018-09-02 03:01:13,"b'Dear #UnitedAirlines, please tell your flight attendants to not to wear any fragrance on the flight itself was a to\xe2\x80\xa6 https://t.co/nv2z8zc6F0'"
2018-09-02 02:54:02,b'#unitedAIRLINES... The WORST... Just sell to another airline.... Horrible experience!!! $200 out of pocket expenses\xe2\x80\xa6 https://t.co/F6dL9Qe0o0'
2018-09-02 02:00:03,b'#UnitedAirlines Announces New #PragueNewark #Route from June 2019. United https://t.co/bBLHstexKX \xe2\x80\xa6 via @50skyshades https://t.co/n3270okPi2'
2018-09-02 01:59:50,b'#unitedAIRLINES never fails. Refusing to to sit type 1 diabetic 6 year old with at least one of her parents. Unbelievable.'
2018-09-02 00:33:39,b'A great end to a great day!\n\n#airportlife #ramplife #unitedairlines #sunset #nofilter #dreamliner #weareunited @ Ge\xe2\x80\xa6 https://t.co/ojSHvpleAB'
2018-09-02 00:23:52,"b'UGH!!!!\xf0\x9f\xa4\xa2\xf0\x9f\x98\x9d\xf0\x9f\x98\xa1 \nLooks like ""the safety and security of our customers"" is the new ""thoughts and prayers"".\xf0\x9f\x98\x92\xe2\x80\xa6 https://t.co/hUW58zGsDz'"
